Name,Annotations,Sequencing
KC02337-T1-A2-Flip,TRUE,
KC01434-T1-A4-Flip,TRUE,
KC02000-Th1-B7-Flip,TRUE,
KC01538-T1-A8-Flip,TRUE,
KC02000-T1-B14-Flip,TRUE,
KC02337-T1-A6-Flip,TRUE,
KC00759-T1-B7-Flip,TRUE,
KC02000-T1-B8-Flip,TRUE,
KC02135-T1-C12-Flip,TRUE,
KC02135-Th1-C8-Flip,TRUE,
KC02820-M2-A13-Flip,TRUE,TRUE
KC01326-T1-A7-Flip,TRUE,
KC00923-T1-A7-Flip,TRUE,
KC01538-T1-A9-Flip,TRUE,
KC00759-T1-B5-Flip,TRUE,
KC01824-T1-B11-Flip,TRUE,
KC01434-M3-A1-Flip,TRUE,
KC01138-T1-A3-Flip,TRUE,TRUE
KC02000-T1-B12-Flip,TRUE,
KC01165-T1-B2-Flip,TRUE,
KC00923-T1-A12-Flip,TRUE,
KC02820-T1-A11-Flip,TRUE,TRUE
KC01434-T1-A5-Flip,TRUE,
KC02644-T1-A4-Flip,TRUE,
KC01165-T1-B4-Flip,TRUE,
KC02135-T1-C14-Flip,TRUE,
KC02113-T1-A12-Flip,TRUE,
KC00495-T1-A2-Flip,TRUE,
KC01823-T1-A12-Flip,TRUE,
KC01138-M3-A12-Flip,,TRUE
KC01138-M3-A4-Flip,,TRUE
KC01138-T1-A9-Flip,,TRUE
KC01138-T1-A4-Flip,,TRUE
KC02820-M1-A18-Flip,,TRUE
KC02820-N1_Th1-A5-Flip,,TRUE
KC02820-T1-A6-Flip,,TRUE
KC02820-T1-A15-Flip,,TRUE
KC02820-T1-A7-Flip,,TRUE
KC02820-T1-A9-Flip,,TRUE
KC02820-N1_Th1-A5-Flip,,TRUE
KC01888-M1-B5-Flip,,TRUE
KC01888-M2-B6-Flip,,TRUE
KC01888-Th1-A3-Flip,,TRUE
KC01888-T1-A5-Flip,,TRUE
KC01888-T1-A7-Flip,,TRUE
